source,translated,context
Factuurnummer,Número de factura,
Klant,Cliente,
Klantnaam,Nombre del cliente,
Factuurdatum,Fecha de factura,
Vervaldatum,Fecha de vencimiento,
Bedrag excl. BTW,Importe sin IVA,
BTW %,IVA %,
BTW Bedrag,Importe IVA,
Bedrag incl. BTW,Importe con IVA,
Betaald Bedrag,Importe pagado,
Openstaand Bedrag,Importe pendiente,
Betaaldatum,Fecha de pago,
Betaallink,Enlace de pago,
Referentie,Referencia,
Abonnement,Suscripción,
Opmerkingen,Observaciones,
Concept,Borrador,
Verstuurd,Enviado,
Betaald,Pagado,
Herinnering verstuurd,Recordatorio enviado,
Aanmaning verstuurd,Requerimiento enviado,
Oninbaar,Incobrable,
Offerte Nummer,Número de presupuesto,
Geaccepteerd,Aceptado,
Geweigerd,Rechazado,
Factuur aangemaakt,Factura creada,
Leverancier,Proveedor,
Kostencategorie,Categoría de costes,
Te verwerken,Por procesar,
Geboekt,Contabilizado,
Actief,Activo,
Gepauzeerd,Pausado,
Beeindigd,Finalizado,
Maandelijks,Mensual,
Kwartaal,Trimestral,
Halfjaarlijks,Semestral,
Jaarlijks,Anual,
Startdatum,Fecha de inicio,
Einddatum,Fecha de fin,
Volgende factuurdatum,Próxima fecha de facturación,
Onverwerkt,Sin procesar,
Match gevonden,Coincidencia encontrada,
Afgeleterd,Conciliado,
Genegeerd,Ignorado,
Instellingen,Configuración,
Bedrijf,Empresa,
Totale omzet,Ingresos totales,
Totale kosten,Costes totales,
Resultaat,Resultado,
