source,translated,context
Factuurnummer,Numéro de facture,
Klant,Client,
Klantnaam,Nom du client,
Factuurdatum,Date de facture,
Vervaldatum,Date d'échéance,
Bedrag excl. BTW,Montant HT,
BTW %,TVA %,
BTW Bedrag,Montant TVA,
Bedrag incl. BTW,Montant TTC,
Betaald Bedrag,Montant payé,
Openstaand Bedrag,Montant en suspens,
Betaaldatum,Date de paiement,
Betaallink,Lien de paiement,
Referentie,Référence,
Abonnement,Abonnement,
Opmerkingen,Remarques,
Concept,Brouillon,
Verstuurd,Envoyé,
Betaald,Payé,
Herinnering verstuurd,Rappel envoyé,
Aanmaning verstuurd,Mise en demeure envoyée,
Oninbaar,Irrécouvrable,
Offerte Nummer,Numéro de devis,
Geaccepteerd,Accepté,
Geweigerd,Refusé,
Factuur aangemaakt,Facture créée,
Leverancier,Fournisseur,
Kostencategorie,Catégorie de coûts,
Te verwerken,À traiter,
Geboekt,Comptabilisé,
Actief,Actif,
Gepauzeerd,En pause,
Beeindigd,Terminé,
Maandelijks,Mensuel,
Kwartaal,Trimestriel,
Halfjaarlijks,Semestriel,
Jaarlijks,Annuel,
Startdatum,Date de début,
Einddatum,Date de fin,
Volgende factuurdatum,Prochaine date de facturation,
Onverwerkt,Non traité,
Match gevonden,Correspondance trouvée,
Afgeleterd,Rapproché,
Genegeerd,Ignoré,
Instellingen,Paramètres,
Bedrijf,Entreprise,
Totale omzet,Chiffre d'affaires total,
Totale kosten,Coûts totaux,
Resultaat,Résultat,
